Metric,Mean,Median,Min,Max,Std Dev,Q1 (25%),Q3 (75%),IQR
Generated Text Char Length,373.95,322.0,0,769,143.83,266.0,504.0,238.0
Human Prefix Char Length,283.85,285.0,150,667,59.85,255.0,315.0,60.0
Total Response Char Length,657.79,627.0,166,1175,164.63,542.0,786.0,244.0
Generated Text Word Count,63.06,53.0,0,123,26.7,45.0,88.0,43.0
Human Prefix Word Count,46.14,48.0,7,106,11.32,43.0,52.0,9.0
Total Response Word Count,109.21,103.0,11,207,31.23,90.0,136.0,46.0
Generated Text Sentence Count,4.08,4.0,0,32,2.47,2.0,5.0,3.0
Human Prefix Sentence Count,2.71,2.0,1,13,1.55,2.0,3.0,1.0
Total Response Sentence Count,6.79,6.0,2,34,3.17,5.0,8.0,3.0
Generated Text Paragraph Count,1.88,1.0,0,14,1.27,1.0,3.0,2.0
Human Prefix Paragraph Count,1.31,1.0,1,9,0.69,1.0,1.0,0.0
Total Response Paragraph Count,3.19,3.0,2,16,1.61,2.0,4.0,2.0
